,Unnamed: 0,"Rank[Note 1]
","Mountain
","Height(m)[1]
","Drop (m)[Note 2]
","Coordinates[2]
","Range [Note 3]
","Range[Note 4]
","Region [Note 5]
","Country
","First[3]ascent
","Rank[Note 2]
","Height(m) [2]
","Drop (m)[Note 3]
","Coordinates[4]
","Range [Note 4]
","Range[Note 5]
","Region [Note 6]
","First[5]ascent
"
1333,290,,"Pointe d'Archeboc/Ormelune
",3272,439,"45°35′01″N 06°58′49″E﻿ / ﻿45.58361°N 6.98028°E﻿ / 45.58361; 6.98028﻿ (278. Pte d'Archeboc (3272 m))
","Graian Alps - Central
","I/B-07.III-A
","Savoie/Aosta Valley
","FR/IT
",,"278
",,,,,,,"
"
1334,291,,"Östliche Feuerstein
",3268,428,"46°58′18″N 11°14′40″E﻿ / ﻿46.97167°N 11.24444°E﻿ / 46.97167; 11.24444﻿ (279. Östliche Feuerstein (3268 m))
","Stubai Alps
","II/A-16.II-A
","N-Tyrol/S-Tyrol
","AT/IT
",,"279
",,,,,,,"1854
"
1335,292,,"Clariden
",3267,413,"46°50′31″N 08°52′17″E﻿ / ﻿46.84194°N 8.87139°E﻿ / 46.84194; 8.87139﻿ (280. Clariden (3267 m))
","Glarus Alps
","I/B-13.I-A
","Glarus/Uri
","CH
",,"280
",,,,,,,"1863
"
1336,293,,"Piz Üertsch
",3267,396,"46°35′47″N 09°50′11″E﻿ / ﻿46.59639°N 9.83639°E﻿ / 46.59639; 9.83639﻿ (281. Piz Üertsch (3267 m))
","Albula Alps
","II/A-15.II-B
","Graubünden
","CH
",,"281
",,,,,,,"1847
"
1337,294,,"Antelao
",3264,1735,"46°27′09″N 12°15′38″E﻿ / ﻿46.45250°N 12.26056°E﻿ / 46.45250; 12.26056﻿ (282. Antelao (3264 m))
","Dolomites - NE
","II/C-31.I-E
","Belluno
","IT
",,"282
",,,,,,,"1863
"
1338,295,,"Scima da Saoseo
",3264,440,"46°23′08″N 10°09′29″E﻿ / ﻿46.38556°N 10.15806°E﻿ / 46.38556; 10.15806﻿ (283. Scima da Saoseo (3264 m))
","Livigno Alps
","II/A-15.IV-B
","Graub./Sondrio
","CH/IT
",,"283
",,,,,,,"1894
"
1339,296,,"Piz Languard
",3262,947,"46°29′18″N 09°57′23″E﻿ / ﻿46.48833°N 9.95639°E﻿ / 46.48833; 9.95639﻿ (284. Piz Languard (3262 m))
","Livigno Alps
","II/A-15.IV-A
","Graubünden
","CH
",,"284
",,,,,,,"1846
"
1340,297,,"Piz Forbesch
",3262,601,"46°31′13″N 09°33′33″E﻿ / ﻿46.52028°N 9.55917°E﻿ / 46.52028; 9.55917﻿ (285. Piz Forbesch (3262 m))
","Oberhalbstein Range
","II/A-15.I-B
","Graubünden
","CH
",,"285
",,,,,,,"1893
"
1341,298,,"Dents du Midi: Haute Cime
",3257,1796,"46°09′40″N 06°55′24″E﻿ / ﻿46.16111°N 6.92333°E﻿ / 46.16111; 6.92333﻿ (286. Dents du Midi: Haute Cime (3257 m))
","Chablais Alps
","I/B-08.II-A
","Valais
","CH
",,"286
",,,,,,,"1784
"
1342,299,,"Hasenöhrl
",3257,375,"46°32′40″N 10°51′31″E﻿ / ﻿46.54444°N 10.85861°E﻿ / 46.54444; 10.85861﻿ (287. Hasenöhrl (3257 m))
","Ortler Alps
","II/C-28.I-A
","South Tyrol
","IT
",,"287
",,,,,,,"1895
"
1343,300,,"Gross Düssi / Piz Git
",3256,429,"46°47′30″N 08°49′39″E﻿ / ﻿46.79167°N 8.82750°E﻿ / 46.79167; 8.82750﻿ (288. Gross Düssi / Piz Git (3256 m))
","Glarus Alps
","I/B-13.I-A
","Graubünden/Uri
","CH
",,"288
",,,,,,,"1841
"
1344,301,,"Hocharn
",3254,678,"47°04′34″N 12°56′14″E﻿ / ﻿47.07611°N 12.93722°E﻿ / 47.07611; 12.93722﻿ (289. Hocharn (3254 m))
","Goldberg Group
","II/A-17.II-E
","Carinth/Salzburg
","AT
",,"289
",,,,,,,"1827
"
1345,302,,"Piz Tschütta / Stammerspitz
",3254,406,"46°54′13″N 10°20′35″E﻿ / ﻿46.90361°N 10.34306°E﻿ / 46.90361; 10.34306﻿ (290. Piz Tschütta / Stammerspitz (3254 m))
","Samnaun Alps
","II/A-15.VI-B
","Graubünden
","CH
",,"290
",,,,,,,"1884
"
1346,303,,"Sasseneire
",3254,386,"46°08′19″N 07°31′31″E﻿ / ﻿46.13861°N 7.52528°E﻿ / 46.13861; 7.52528﻿ (291. Sasseneire (3254 m))
","Weisshorn-Matterhorn
","I/B-09.II-C
","Valais
","CH
",,"291
",,,,,,,"1835
"
1347,304,,"Ankogel
",3252,578,"47°03′04″N 13°14′57″E﻿ / ﻿47.05111°N 13.24917°E﻿ / 47.05111; 13.24917﻿ (292. Ankogel (3252 m))
","Ankogel Group
","II/A-17.II-F
","Carinth/Salzburg
","AT
",,"292
",,,,,,,"1762
"
1348,305,,"Cavistrau / Brigelser Hörner
",3252,448,"46°47′04″N 08°58′26″E﻿ / ﻿46.78444°N 8.97389°E﻿ / 46.78444; 8.97389﻿ (293. Cavistrau / Brigelser Hörner (3252 m))
","Glarus Alps
","I/B-13.II-A
","Graubünden
","CH
",,"293
",,,,,,,"1865
"
1349,306,,"Rauhkofel
",3251,593,"47°04′34″N 12°05′31″E﻿ / ﻿47.07611°N 12.09194°E﻿ / 47.07611; 12.09194﻿ (294. Rauhkofel (3251 m))
","Zillertal Alps
","II/A-17.I-B
","N-Tyrol/S-Tyrol
","AT/IT
",,"294
",,,,,,,"1853
"
1350,307,,"Großer Hornkopf [sv]
",3251,455,"46°58′02″N 12°46′44″E﻿ / ﻿46.96722°N 12.77889°E﻿ / 46.96722; 12.77889﻿ (295. Großer Hornkopf (3251 m))
","Schober Group
","II/A-17.II-D
","Carinthia
","AT
",,"295
",,,,,,,"1890
"
1351,308,,"Wildhorn
",3248,978,"46°21′21″N 07°21′44″E﻿ / ﻿46.35583°N 7.36222°E﻿ / 46.35583; 7.36222﻿ (296. Wildhorn (3248 m))
","Bernese Alps
","I/B-12.II-F
","Bern/Valais
","CH
",,"296
",,,,,,,"1843
"
1352,309,,"Péne Blanche [it]
",3248,346,"45°37′08″N 07°25′37″E﻿ / ﻿45.61889°N 7.42694°E﻿ / 45.61889; 7.42694﻿ (297. Péne Blanche (3248 m))
","Gran Paradiso Alps
","I/B-07.IV-C
","Aosta Valley
","IT
",,"297
",,,,,,,"
"
1353,310,,"Ringelspitz
",3247,843,"46°53′54″N 09°20′35″E﻿ / ﻿46.89833°N 9.34306°E﻿ / 46.89833; 9.34306﻿ (298. Ringelspitz (3247 m))
","Glarus Alps
","I/B-13.II-B
","Graub./StGallen
","CH
",,"298
",,,,,,,"1865
"
1354,311,,"Berrio Blanc [it]
",3247,731,"45°45′11″N 06°53′52″E﻿ / ﻿45.75306°N 6.89778°E﻿ / 45.75306; 6.89778﻿ (299. Berrio Blanc (3247 m))
","Mont Blanc massif
","I/B-07.III-B
","Aosta Valley
","IT
",,"299
",,,,,,,"
"
1355,312,,"Piz Ot
",3246,631,"46°32′36″N 09°48′37″E﻿ / ﻿46.54333°N 9.81028°E﻿ / 46.54333; 9.81028﻿ (300. Piz Ot (3246 m))
","Albula Alps
","II/A-15.II-A
","Graubünden
","CH
",,"300
",,,,,,,"1830
"
1356,313,,"Wasenhorn / Punta Terrarossa
",3246,476,"46°15′59″N 08°05′08″E﻿ / ﻿46.26639°N 8.08556°E﻿ / 46.26639; 8.08556﻿ (301. Wasenhorn / Pta Terrarossa (3246 m))
","Leone-Gotthard Alps
","I/B-10.I-A
","Valais/V-C-O
","CH/IT
",,"301
",,,,,,,"1844
"
1357,314,,"Punta Painale
",3246,413,"46°15′24″N 09°58′26″E﻿ / ﻿46.25667°N 9.97389°E﻿ / 46.25667; 9.97389﻿ (302. Pta Painale (3246 m))
","Bernina Range
","II/A-15.III-A
","Sondrio
","IT
",,"302
",,,,,,,"1885
"
1358,315,,"Platthorn
",3246,361,"46°09′59″N 07°51′40″E﻿ / ﻿46.16639°N 7.86111°E﻿ / 46.16639; 7.86111﻿ (303. Platthorn (3246 m))
","Mischabel
","I/B-09.V-A
","Valais
","CH
",,"303
",,,,,,,"
"
1359,316,,"Tofana di Mezzo
",3244,1369,"46°33′04″N 12°03′56″E﻿ / ﻿46.55111°N 12.06556°E﻿ / 46.55111; 12.06556﻿ (304. Tofana di Mezzo (3244 m))
","Dolomites - NE
","II/C-31.I-D
","Belluno
","IT
",,"304
",,,,,,,"1863
"
1360,317,,"Hohe Fürleg
",3244,410,"47°08′30″N 12°21′46″E﻿ / ﻿47.14167°N 12.36278°E﻿ / 47.14167; 12.36278﻿ (305. Hohe Fürleg (3244 m))
","Venediger Group
","II/A-17.II-A
","E-Tyrol/Salzburg
","AT
",,"305
",,,,,,,"1894
"
1361,318,,"Piz Bacun
",3244,306,"46°20′32″N 09°40′56″E﻿ / ﻿46.34222°N 9.68222°E﻿ / 46.34222; 9.68222﻿ (306. Piz Bacun (3244 m))
","Bregaglia Range
","II/A-15.III-B
","Graubünden
","CH
",,"306
",,,,,,,"1883
"
1362,319,,"Wildstrubel
",3243,815,"46°24′01″N 07°31′43″E﻿ / ﻿46.40028°N 7.52861°E﻿ / 46.40028; 7.52861﻿ (307. Wildstrubel (3243 m))
","Bernese Alps
","I/B-12.II-F
","Bern/Valais
","CH
",,"307
",,,,,,,"1855
"
1363,320,,"Tête de Soulaure / Pic Félix Neff [it]
",3243,508,"44°45′45″N 06°24′54″E﻿ / ﻿44.76250°N 6.41500°E﻿ / 44.76250; 6.41500﻿ (308. Tête de Soulaure / Pic Félix Neff (3243 m))
","Massif des Écrins
","I/A-05.III-C
","Hautes-Alpes
","FR
",,"308
",,,,,,,"
"
1364,321,,"Hochschober
",3242,433,"46°56′33″N 12°41′54″E﻿ / ﻿46.94250°N 12.69833°E﻿ / 46.94250; 12.69833﻿ (309. Hochschober (3242 m))
","Schober Group
","II/A-17.II-D
","East Tyrol
","AT
",,"309
",,,,,,,"1852
"
1365,322,,"Titlis
",3238,978,"46°46′19″N 08°26′16″E﻿ / ﻿46.77194°N 8.43778°E﻿ / 46.77194; 8.43778﻿ (310. Titlis (3238 m))
","Urner Alps
","I/B-12.I-B
","Bern/Obwalden
","CH
",,"310
",,,,,,,"1739
"
1366,323,,"Grand Golliat
",3238,378,"45°51′33″N 07°06′06″E﻿ / ﻿45.85917°N 7.10167°E﻿ / 45.85917; 7.10167﻿ (311. Grand Golliat (3238 m))
","Grand Combin Alps
","I/B-09.I-A
","Valais/Aosta Valley
","CH/IT
",,"311
",,,,,,,"1879
"
1367,324,,"Becca du Merlo
",3237,331,"45°50′38″N 07°28′14″E﻿ / ﻿45.84389°N 7.47056°E﻿ / 45.84389; 7.47056﻿ (312. Becca du Merlo (3237 m))
","Weisshorn-Matterhorn
","I/B-09.II-B
","Aosta Valley
","IT
",,"312
",,,,,,,"
"
1368,325,,"Hoher Seeblaskogel
",3235,370,"47°05′44″N 11°04′29″E﻿ / ﻿47.09556°N 11.07472°E﻿ / 47.09556; 11.07472﻿ (313. Hoher Seeblaskogel (3235 m))
","Stubai Alps
","II/A-16.II-B
","North Tyrol
","AT
",,"313
",,,,,,,"1881
"
1369,326,,"Pic des Houerts [it]
",3235,364,"44°35′16″N 06°46′02″E﻿ / ﻿44.58778°N 6.76722°E﻿ / 44.58778; 6.76722﻿ (314. Pic des Houerts (3235 m))
","Southern Cottian Alps
","I/A-04.I-B
","AdHP/H-Alpes
","FR
",,"314
",,,,,,,"
"
1370,327,,"Ofenhorn / Punta d'Arbola
",3235,334,"46°23′12″N 08°19′07″E﻿ / ﻿46.38667°N 8.31861°E﻿ / 46.38667; 8.31861﻿ (315. Ofenhorn / Pta d'Arbola (3235 m))
","Leone-Gotthard Alps
","I/B-10.I-A
","Valais/V-C-O
","CH/IT
",,"315
",,,,,,,"1864
"
1371,328,,"Großer Muntanitz
",3232,717,"47°04′25″N 12°35′21″E﻿ / ﻿47.07361°N 12.58917°E﻿ / 47.07361; 12.58917﻿ (316. Großer Muntanitz (3232 m))
","Granatspitze Group
","II/A-17.II-B
","East Tyrol
","AT
",,"316
",,,,,,,"1871
"
1372,329,,"Le Péouvou [it]
",3232,488,"44°37′49″N 06°53′01″E﻿ / ﻿44.63028°N 6.88361°E﻿ / 44.63028; 6.88361﻿ (317. Le Péouvou (3232 m))
","Southern Cottian Alps
","I/A-04.I-A
","AdHP/H-Alpes
","FR
",,"317
",,,,,,,"1888
"
1373,330,,"Corno di Dosdè
",3232,302,"46°24′28″N 10°10′11″E﻿ / ﻿46.40778°N 10.16972°E﻿ / 46.40778; 10.16972﻿ (318. Corno di Dosdè (3232 m))
","Livigno Alps
","II/A-15.IV-B
","Sondrio
","IT
",,"318
",,,,,,,"1866
"
1374,331,,"Hoher Riffler
",3231,321,"47°04′52″N 11°42′16″E﻿ / ﻿47.08111°N 11.70444°E﻿ / 47.08111; 11.70444﻿ (319. Hoher Riffler (3231 m))
","Zillertal Alps
","II/A-17.I-A
","North Tyrol
","AT
",,"319
",,,,,,,"1853
"
1375,332,,"Augstenberg/Piz Blaisch Lunga
",3230,432,"46°51′52″N 10°12′14″E﻿ / ﻿46.86444°N 10.20389°E﻿ / 46.86444; 10.20389﻿ (320. Augstenberg / Piz Blaisch Lunga (3230 m))
","Silvretta
","II/A-15.VI-A
","N-Tyrol/Graub.
","AT/CH
",,"320
",,,,,,,"1881
"
1376,333,,"Piz Vadret
",3229,660,"46°41′13″N 09°57′46″E﻿ / ﻿46.68694°N 9.96278°E﻿ / 46.68694; 9.96278﻿ (321. Piz Vadret (3229 m))
","Albula Alps
","II/A-15.II-B
","Graubünden
","CH
",,"321
",,,,,,,"1867
"
1377,334,,"Grand Galibier
",3228,635,"45°03′50″N 06°26′03″E﻿ / ﻿45.06389°N 6.43417°E﻿ / 45.06389; 6.43417﻿ (322. Grand Galibier (3228 m))
","Massif des Cerces
","I/A-04.III-A
","H-Alpes/Savoie
","FR
",,"322
",,,,,,,"1877
"
1378,335,,"Tofana di Rozes
",3225,664,"46°32′13″N 12°03′04″E﻿ / ﻿46.53694°N 12.05111°E﻿ / 46.53694; 12.05111﻿ (323. Tofana di Rozes (3225 m))
","Dolomites - NE
","II/C-31.I-D
","Belluno
","IT
",,"323
",,,,,,,"1864
"
1379,336,,"Hintere Stangenspitze [sv]
",3225,465,"47°03′26″N 11°58′34″E﻿ / ﻿47.05722°N 11.97611°E﻿ / 47.05722; 11.97611﻿ (324. Hintere Stangenspitze (3225 m))
","Zillertal Alps
","II/A-17.I-B
","North Tyrol
","AT
",,"324
",,,,,,,"1891
"
1380,337,,"Monte Gavia
",3223,309,"46°21′15″N 10°28′21″E﻿ / ﻿46.35417°N 10.47250°E﻿ / 46.35417; 10.47250﻿ (325. Monte Gavia (3223 m))
","Ortler Alps
","II/C-28.I-B
","Brescia/Sondrio
","IT
",,"325
",,,,,,,"1891
"
1381,338,,"Rocca Bernauda /Roche Bernaude
",3222,682,"45°06′05″N 06°37′39″E﻿ / ﻿45.10139°N 6.62750°E﻿ / 45.10139; 6.62750﻿ (326. Rocca Bernauda / Roche Bernaude (3222 m))
","Massif des Cerces
","I/A-04.III-A
","H-Alpes/Turin
","FR/IT
",,"326
",,,,,,,"1882
"
1382,339,,"Monte Cristallo
",3221,1416,"46°34′31″N 12°12′02″E﻿ / ﻿46.57528°N 12.20056°E﻿ / 46.57528; 12.20056﻿ (327. Monte Cristallo (3221 m))
","Dolomites - NE
","II/C-31.I-D
","Belluno
","IT
",,"327
",,,,,,,"1865
"
1383,340,,"Monte Civetta
",3220,1454,"46°22′48″N 12°03′12″E﻿ / ﻿46.38000°N 12.05333°E﻿ / 46.38000; 12.05333﻿ (328. Monte Civetta (3220 m))
","Dolomites - SE
","II/C-31.II-A
","Belluno
","IT
",,"328
",,,,,,,"1860
"
1384,341,,"Tour Sallière
",3220,726,"46°07′37″N 06°55′29″E﻿ / ﻿46.12694°N 6.92472°E﻿ / 46.12694; 6.92472﻿ (329. Tour Sallière (3220 m))
","Chablais Alps
","I/B-08.II-A
","Valais
","CH
",,"329
",,,,,,,"1858
"
1385,342,,"Vorderes Plattenhorn: Ostgipfel
",3220,300,"46°48′36″N 10°01′59″E﻿ / ﻿46.81000°N 10.03306°E﻿ / 46.81000; 10.03306﻿ (330. Vorderes Plattenhorn: Ostgipfel (3220 m))
","Silvretta
","II/A-15.VI-A
","Graubünden
","CH
",,"330
",,,,,,,"1868
"
1386,343,,"Vogelberg
",3218,303,"46°28′42″N 09°03′55″E﻿ / ﻿46.47833°N 9.06528°E﻿ / 46.47833; 9.06528﻿ (331. Vogelberg (3218 m))
","Adula Alps
","I/B-10.III-B
","Graub./Ticino
","CH
",,"331
",,,,,,,"1864
"
1387,344,,"Monte del Forno
",3214,446,"46°20′18″N 09°43′29″E﻿ / ﻿46.33833°N 9.72472°E﻿ / 46.33833; 9.72472﻿ (332. Monte del Forno (3214 m))
","Bregaglia Range
","II/A-15.III-B
","Graub./Sondrio
","CH/IT
",,"332
",,,,,,,"1876
"
1388,345,,"Bec de l'Âne
",3213,372,"45°36′56″N 06°59′02″E﻿ / ﻿45.61556°N 6.98389°E﻿ / 45.61556; 6.98389﻿ (333. Bec de l'Âne (3213 m))
","Graian Alps - Central
","I/B-07.III-B
","Savoie
","FR
",,"333
",,,,,,,"
"
1389,346,,"Le Métailler
",3213,302,"46°06′14″N 07°21′37″E﻿ / ﻿46.10389°N 7.36028°E﻿ / 46.10389; 7.36028﻿ (334. Le Métailler (3213 m))
","Grand Combin Alps
","I/B-09.I-D
","Valais
","CH
",,"334
",,,,,,,"
"
1390,347,,"Piz Medel
",3211,952,"46°37′06″N 08°54′40″E﻿ / ﻿46.61833°N 8.91111°E﻿ / 46.61833; 8.91111﻿ (335. Piz Medel (3211 m))
","Adula Alps
","I/B-10.III-A
","Graub./Ticino
","CH
",,"335
",,,,,,,"1865
"
1391,348,,"Scherbadung / Pizzo Cervandone
",3211,716,"46°19′27″N 08°13′23″E﻿ / ﻿46.32417°N 8.22306°E﻿ / 46.32417; 8.22306﻿ (336. Scherbadung / Pizzo Cervandone (3211 m))
","Leone-Gotthard Alps
","I/B-10.I-A
","Valais/V-C-O
","CH/IT
",,"336
",,,,,,,"1886
"
1392,349,,"Diablerets
",3210,968,"46°18′14″N 07°11′20″E﻿ / ﻿46.30389°N 7.18889°E﻿ / 46.30389; 7.18889﻿ (337. Diablerets (3210 m))
","Vaud Alps
","I/B-12.III-A
","Valais/Vaud
","CH
",,"337
",,,,,,,"1850
"
1393,350,,"Gran Vernel [it]
",3210,314,"46°26′33″N 11°49′56″E﻿ / ﻿46.44250°N 11.83222°E﻿ / 46.44250; 11.83222﻿ (338. Gran Vernel (3210 m))
","Dolomites - NW
","II/C-31.III-B
","Trentino
","IT
",,"338
",,,,,,,"1879
"
1394,351,,"Piz Timun /Pizzo d'Emet
",3209,823,"46°28′01″N 09°24′34″E﻿ / ﻿46.46694°N 9.40944°E﻿ / 46.46694; 9.40944﻿ (339. Piz Timun / Pizzo d'Emet (3209 m))
","Oberhalbstein Range
","II/A-15.I-A
","Graub./Sondrio
","CH/IT
",,"339
",,,,,,,"1884
"
1395,352,,"Piz Cambrialas
",3208,364,"46°47′22″N 08°51′07″E﻿ / ﻿46.78944°N 8.85194°E﻿ / 46.78944; 8.85194﻿ (340. Piz Cambrialas (3208 m))
","Glarus Alps
","I/B-13.I-A
","Graubünden
","CH
",,"340
",,,,,,,"1905
"
1396,353,,"Pic du Thabor
",3207,711,"45°07′07″N 06°33′44″E﻿ / ﻿45.11861°N 6.56222°E﻿ / 45.11861; 6.56222﻿ (341. Pic du Thabor (3207 m))
","Massif des Cerces
","I/A-04.III-A
","Savoie
","FR
",,"341
",,,,,,,"1878
"
1397,354,,"Hocheiser
",3206,567,"47°09′23″N 12°40′24″E﻿ / ﻿47.15639°N 12.67333°E﻿ / 47.15639; 12.67333﻿ (342. Hocheiser (3206 m))
","Glockner Group
","II/A-17.II-C
","Salzburg
","AT
",,"342
",,,,,,,"1871
"
1398,355,,"Glödis
",3206,376,"46°57′40″N 12°43′34″E﻿ / ﻿46.96111°N 12.72611°E﻿ / 46.96111; 12.72611﻿ (343. Glödis (3206 m))
","Schober Group
","II/A-17.II-D
","East Tyrol
","AT
",,"343
",,,,,,,"1871
"
1399,356,,"Pointe Haute de Mary [it]
",3206,326,"44°34′32″N 06°53′41″E﻿ / ﻿44.57556°N 6.89472°E﻿ / 44.57556; 6.89472﻿ (344. Pte Haute de Mary (3206 m))
","Southern Cottian Alps
","I/A-04.I-A
","A-d-H-Provence
","FR
",,"344
",,,,,,,"1879
"
1400,357,,"Punta Sorapiss
",3205,1085,"46°30′25″N 12°12′42″E﻿ / ﻿46.50694°N 12.21167°E﻿ / 46.50694; 12.21167﻿ (345. Pta Sorapiss (3205 m))
","Dolomites - NE
","II/C-31.I-D
","Belluno
","IT
",,"345
",,,,,,,"1864
"
1401,358,,"Piz Sesvenna
",3204,1055,"46°42′21″N 10°24′10″E﻿ / ﻿46.70583°N 10.40278°E﻿ / 46.70583; 10.40278﻿ (346. Piz Sesvenna (3204 m))
","Sesvenna Range
","II/A-15.V-B
","Graubünden
","CH
",,"346
",,,,,,,"
"
1402,359,,"Kitzsteinhorn
",3203,436,"47°11′17″N 12°41′16″E﻿ / ﻿47.18806°N 12.68778°E﻿ / 47.18806; 12.68778﻿ (347. Kitzsteinhorn (3203 m))
","Glockner Group
","II/A-17.II-C
","Salzburg
","AT
",,"347
",,,,,,,"1828
"
1403,360,,"Schwarzhorn
",3201,308,"46°13′00″N 07°45′24″E﻿ / ﻿46.21667°N 7.75667°E﻿ / 46.21667; 7.75667﻿ (348. Schwarzhorn (3201 m))
","Weisshorn-Matterhorn
","I/B-09.II-D
","Valais
","CH
",,"348
",,,,,,,"
"
1404,361,,"Mastaunspitze
",3200,455,"46°41′37″N 10°48′09″E﻿ / ﻿46.69361°N 10.80250°E﻿ / 46.69361; 10.80250﻿ (349. Mastaunspitze (3200 m))
","Ötztal Alps
","II/A-16.I-A
","South Tyrol
","IT
",,"349
",,,,,,,"1854
"
1405,362,,"Piz Vadret
",3199,308,"46°30′32″N 09°57′03″E﻿ / ﻿46.50889°N 9.95083°E﻿ / 46.50889; 9.95083﻿ (350. Piz Vadret (3199 m))
","Livigno Alps
","II/A-15.IV-A
","Graubünden
","CH
",,"350
",,,,,,,"
"
1406,363,,"Gross Spannort
",3198,616,"46°47′12″N 08°31′28″E﻿ / ﻿46.78667°N 8.52444°E﻿ / 46.78667; 8.52444﻿ (351. Gross Spannort (3198 m))
","Urner Alps
","I/B-12.I-B
","Uri
","CH
",,"351
",,,,,,,"1867
"
1407,364,,"Dreiländerspitze
",3197,306,"46°51′03″N 10°08′41″E﻿ / ﻿46.85083°N 10.14472°E﻿ / 46.85083; 10.14472﻿ (352. Dreiländerspitze (3197 m))
","Silvretta
","II/A-15.VI-A
","N-Tyr/Vor/Graub.
","AT/CH
",,"352
",,,,,,,"1853
"
1408,365,,"Pointes de Pierre Brune
",3196,354,"45°22′41″N 06°51′25″E﻿ / ﻿45.37806°N 6.85694°E﻿ / 45.37806; 6.85694﻿ (353. Ptes de Pierre Brune (3196 m))
","Vanoise massif
","I/B-07.II-A
","Savoie
","FR
",,"353
",,,,,,,"
"
1409,366,,"Mont Tondu
",3196,301,"45°45′50″N 06°45′20″E﻿ / ﻿45.76389°N 6.75556°E﻿ / 45.76389; 6.75556﻿ (354. Mont Tondu (3196 m))
","Mont Blanc massif
","I/B-07.V-A
","Savoie
","FR
",,"354
",,,,,,,"
"
1410,367,,"Bortelhorn/ Punta del Rebbio
",3193.6,430,"46°17′41″N 08°07′31″E﻿ / ﻿46.29472°N 8.12528°E﻿ / 46.29472; 8.12528﻿ (355. Bortelhorn / Pta del Rebbio (3193.6 m))
","Leone-Gotthard Alps
","I/B-10.I-A
","Valais/V-C-O
","CH/IT
",,"355
",,,,,,,"1869
"
1411,368,,"Rocca Blancia [it]
",3193,328,"44°29′57″N 06°51′53″E﻿ / ﻿44.49917°N 6.86472°E﻿ / 44.49917; 6.86472﻿ (356. Rocca Blancia (3193 m))
","Southern Cottian Alps
","I/A-04.I-A
","AdHP/Cuneo
","FR/IT
",,"356
",,,,,,,"
"
1412,369,,"Cima Vezzana
",3192,1273,"46°17′23″N 11°49′49″E﻿ / ﻿46.28972°N 11.83028°E﻿ / 46.28972; 11.83028﻿ (357. Cima Vezzana (3192 m))
","Dolomites - S
","II/C-31.IV-A
","Belluno/Trentino
","IT
",,"357
",,,,,,,"1872
"
1413,370,,"Pizzo Rotondo
",3192,752,"46°31′03″N 08°27′58″E﻿ / ﻿46.51750°N 8.46611°E﻿ / 46.51750; 8.46611﻿ (358. Pizzo Rotondo (3192 m))
","Leone-Gotthard Alps
","I/B-10.I-B
","Ticino/Valais
","CH
",,"358
",,,,,,,"1869
"
1414,371,,"Hübschhorn I
",3192,325,"46°14′13″N 08°03′19″E﻿ / ﻿46.23694°N 8.05528°E﻿ / 46.23694; 8.05528﻿ (359. Hübschhorn I (3192 m))
","Leone-Gotthard Alps
","I/B-10.I-A
","Valais
","CH
",,"359
",,,,,,,"
"
1415,372,,"Scopi
",3190,792,"46°34′18″N 08°49′48″E﻿ / ﻿46.57167°N 8.83000°E﻿ / 46.57167; 8.83000﻿ (360. Scopi (3190 m))
","Adula Alps
","I/B-10.III-A
","Graub./Ticino
","CH
",,"360
",,,,,,,"1782
"
1416,373,,"Löffelspitze [de]
",3190,303,"47°01′03″N 12°09′52″E﻿ / ﻿47.01750°N 12.16444°E﻿ / 47.01750; 12.16444﻿ (361. Löffelspitze (3190 m))
","Venediger Group
","II/A-17.II-A
","East Tyrol
","AT
",,"361
",,,,,,,"1877
"
1417,374,,"Spechhorn / Pizzo d'Antigine
",3189,355,"46°00′44″N 08°00′04″E﻿ / ﻿46.01222°N 8.00111°E﻿ / 46.01222; 8.00111﻿ (362. Spechhorn / Pizzo d'Antigine (3189 m))
","Weissmies Alps
","I/B-09.V-B
","Valais/V-C-O
","CH/IT
",,"362
",,,,,,,"
"
1418,375,,"Gleirscher Fernerkogel
",3189,321,"47°06′51″N 11°03′49″E﻿ / ﻿47.11417°N 11.06361°E﻿ / 47.11417; 11.06361﻿ (363. Gleirscher Fernerkogel (3189 m))
","Stubai Alps
","II/A-16.II-B
","North Tyrol
","AT
",,"363
",,,,,,,"1883
"
1419,376,,"Piz Surlej
",3188,433,"46°27′12″N 09°50′35″E﻿ / ﻿46.45333°N 9.84306°E﻿ / 46.45333; 9.84306﻿ (364. Piz Surlej (3188 m))
","Bernina Range
","II/A-15.III-A
","Graubünden
","CH
",,"364
",,,,,,,"1846
"
1420,377,,"Gross Windgällen
",3187,552,"46°48′26″N 08°43′56″E﻿ / ﻿46.80722°N 8.73222°E﻿ / 46.80722; 8.73222﻿ (365. Gross Windgällen (3187 m))
","Glarus Alps
","I/B-13.I-A
","Uri
","CH
",,"365
",,,,,,,"1848
"
1421,378,,"Becca Tey
",3186,296,"45°35′10″N 07°05′41″E﻿ / ﻿45.58611°N 7.09472°E﻿ / 45.58611; 7.09472﻿ (Becca Tey (3186 m))
","Graian Alps - Central
","I/B-07.III-A
","Aosta Valley
","IT
",,"
",,,,,,,"
"
1422,379,,"Mont Glacier
",3185,354,"45°37′53″N 07°32′23″E﻿ / ﻿45.63139°N 7.53972°E﻿ / 45.63139; 7.53972﻿ (366. Mont Glacier (3185 m))
","Gran Paradiso Alps
","I/B-07.IV-C
","Aosta Valley
","IT
",,"366
",,,,,,,"1875
"
